class_label,hex_id,imgs_per_cell,latitude_mean,longitude_mean
0,8747c,741,38.672376232118744,-109.49567323211882
1,365,494,36.17056917004049,102.99007035020252
2,89c6c74,202,39.98450882178214,-75.21500721782179
3,884054,258,39.270352135658904,-84.37570042635657
4,33ab4,499,9.256418957915832,123.29821696993993
5,80858065,646,37.79265791795663,-122.39275442414882
6,89c804f,228,39.316776368421024,-76.61400802192983
7,0fc,945,6.159753561904745,-1.877592239153436
8,477eb1d1,764,45.4328818141361,12.332203382198932
9,47f4ebc,959,45.75671929197076,4.822350584984362
10,80c8c5cd,658,36.10089921580547,-115.17351595744724
11,4796c8c,331,48.59282710876134,7.771509776435044
12,48760348c,775,51.50582545032265,-0.07522279354838707
13,478e39d,655,46.94683530229004,7.449815722137391
14,880fd1c,783,41.99185914048531,-87.67112632439367
15,60004,351,35.077252404558344,135.3076820968659
16,3397c94,731,14.55295718604652,121.01468156087574
17,0d422863,361,40.42543878670356,-3.7050732853185564
18,4bc,145,50.85970572413792,-55.73843099999998
19,0d1ec4,655,38.70699643969469,-9.424573458015278
20,47b93,731,51.3339823132695,7.326853816689466
21,48457,240,51.79728519999998,-9.684857791666666
22,89c2f61,891,40.80026041638609,-73.95071147025816
23,1297925,958,39.5707916200418,2.6482976127348676
24,548724,775,50.09769584,-122.93676538580638
25,808f7e34,729,37.76142153772294,-122.40823082441682
26,8819adc,958,42.96402940814201,-85.66831328705645
27,47d8f,855,51.78819310994163,0.533302637426901
28,4841,221,49.9384633529412,-6.322841751131225
29,47833,262,46.7759097099237,10.53591370610686
30,4743,662,46.36280100453177,18.85861873413898
31,54eb4,305,45.48590331147537,-123.92423411147523
32,549055,846,47.25503069858161,-122.44832793971598
33,808fbb34,367,37.44474559128056,-122.16654110081785
34,94ce574,779,-23.581822874197652,-46.6847587291399
35,47aa4,652,53.59502145858898,14.349349555214744
36,47c4b,478,51.39688995815902,3.3140563430962358
37,47e63,282,49.12475655319146,2.5948374113475174
38,47817,884,45.58335980882349,10.116573912895948
39,3e5f5c,885,25.273913362711873,55.34520974350282
40,12a4a274,783,41.36768207279698,2.1516650038314196
41,54906acb,285,47.6140382175439,-122.32593530526314
42,40ec,668,45.00779891616762,34.92196532634734
43,477e9,300,45.17814383666667,12.25720576333334
44,6ad6683,259,-37.84982808108108,144.99463230115822
45,478fa4,751,46.63933811584557,7.878964557922758
46,8085871,511,37.7799834148728,-122.48068848727998
47,4758c,853,43.85054131301286,18.415820463071515
48,80e914c,418,34.43485617703348,-119.71597302870808
49,4741df,347,47.507134259366005,18.997004472622486
50,46597,763,58.39603835910883,15.553575241153323
